SK_ID_CURR,split
239527,train
351988,train
417939,train
455169,train
115113,train
317818,train
307189,train
197515,train
310900,train
101646,train
271902,train
251526,train
141403,train
421029,train
364913,train
111568,train
192845,train
230568,train
451298,train
234587,train
308005,train
410278,train
104276,train
275321,train
205692,train
143272,train
308112,train
174401,train
292076,train
186297,train
355461,train
278646,train
191646,train
365002,train
427518,train
215868,train
206299,train
420973,train
169887,train
294265,train
223246,train
207516,train
125862,train
119121,train
243776,train
182491,train
115717,train
296440,train
383715,train
293391,train
393027,train
213895,train
202501,train
390176,train
291699,train
150994,train
429650,train
198140,train
318850,train
142306,train
139003,train
194415,train
438161,train
427442,train
215617,train
413780,train
256449,train
100700,train
388583,train
357327,train
160690,train
168015,train
199667,train
341270,train
166381,train
288860,train
109379,train
286887,train
154481,train
285025,train
226825,train
251060,train
177114,train
428255,train
168429,train
304098,train
287914,train
374418,train
325429,train
383534,train
428087,train
154869,train
101502,train
404982,train
261748,train
288302,train
372012,train
414523,train
232579,train
443272,train
170110,train
159909,train
193168,train
205082,train
250475,train
362171,train
104516,train
123828,train
407450,train
393422,train
192204,train
402902,train
136587,train
364939,train
166633,train
436179,train
255313,train
322810,train
205034,train
344966,train
242130,train
226069,train
145290,train
199175,train
100771,train
261216,train
129666,train
177834,train
421813,train
330377,train
143886,train
356968,train
450028,train
323990,train
212230,train
390209,train
357419,train
276965,train
386892,train
375082,train
444757,train
308078,train
367097,train
255023,train
301398,train
321881,train
316493,train
283779,train
342829,train
226182,train
416472,train
432287,train
101993,train
418474,train
344479,train
155645,train
190181,train
255149,train
137493,train
185489,train
400037,train
238741,train
412868,train
392784,train
414601,train
198039,train
199802,train
338722,train
350339,train
302948,train
283758,train
189973,train
401138,train
234466,train
341271,train
375494,train
240232,train
370515,train
454292,train
349483,train
245560,train
367100,train
407924,train
311805,train
385842,train
165342,train
420531,train
143919,train
318066,train
157445,train
255251,train
436685,train
316695,train
434473,train
274599,train
421723,train
366740,train
253118,train
361799,train
342187,train
114243,train
403271,train
118950,train
291660,train
385881,train
381007,train
240846,train
321403,train
357396,train
353072,train
134223,train
256090,train
281869,train
183436,train
371589,train
308455,train
114400,train
195448,train
273269,train
109838,train
130393,train
102515,train
360418,train
213011,train
377869,train
139605,train
193553,train
401303,train
116222,train
347385,train
332913,train
345440,train
344912,train
265499,train
441556,train
147055,train
314331,train
411304,train
302485,train
340642,train
352017,train
267019,train
147698,train
387983,train
270374,train
116433,train
341362,train
431081,train
408519,train
130408,train
193501,train
168489,train
182248,train
287690,train
313428,train
177736,train
146393,train
293300,train
163894,train
314117,train
334802,train
275636,train
433034,train
334975,train
368238,train
186274,train
355316,train
140278,train
293812,train
266283,train
180344,train
316997,train
226111,train
223826,train
214746,train
353360,train
308149,train
153977,train
340669,train
212489,train
444895,train
191131,train
146778,train
390679,train
191691,train
216963,train
399602,train
124527,train
435226,train
431326,train
398349,train
105746,train
197243,train
446105,train
127123,train
217180,train
103560,train
332644,train
151413,train
187190,train
427737,train
217385,train
244761,train
210506,train
101375,train
249510,train
143881,train
218624,train
171239,train
405278,train
353199,train
339713,train
380628,train
342207,train
290804,train
375147,train
378806,train
137024,train
226399,train
274874,train
447697,train
260118,train
385254,train
375679,train
103406,train
289660,train
442726,train
209351,train
102521,train
154436,train
387887,train
351018,train
249315,train
352775,train
155290,train
337164,train
220078,train
290603,train
345505,train
299778,train
118095,train
300143,train
333717,train
441850,train
426094,train
441075,train
207764,train
355705,train
394204,train
438490,train
178918,train
219222,train
197399,train
418116,train
224574,train
423361,train
381297,train
300760,train
275847,train
194709,train
179433,train
421684,train
290684,train
258770,train
255282,train
138075,train
424860,train
308937,train
354310,train
252959,train
128422,train
408291,train
192558,train
313452,train
228387,train
138183,train
165068,train
133743,train
266633,train
183260,train
371104,train
419450,train
243008,train
413347,train
120765,train
412480,train
414154,train
387693,train
446040,train
295780,train
355476,train
419633,train
359280,train
196671,train
181174,train
235120,train
316004,train
179079,train
255449,train
401638,train
427471,train
132567,train
452653,train
296723,train
275356,train
377843,train
275664,train
323634,train
450705,train
423511,train
226942,train
383281,train
263606,train
128732,train
256846,train
399732,train
414981,train
392113,train
183837,train
449333,train
302312,train
319050,train
260324,train
237468,train
222083,train
367737,train
292420,train
393486,train
346370,train
335987,train
276036,train
350140,train
376659,train
329888,train
126393,train
428664,train
267590,train
133836,train
321001,train
171822,train
173336,train
236347,train
104440,train
429443,train
158274,train
382462,train
236584,train
336051,train
350167,train
158295,train
348715,train
347484,train
172372,train
259343,train
286350,train
132244,train
168917,train
389496,train
434213,train
424131,train
404965,train
120033,train
282440,train
185236,train
436553,train
159094,train
248084,train
274518,train
379068,train
272278,train
223654,train
111738,train
297083,train
403850,train
180113,train
438977,train
312560,train
420435,train
273717,train
110012,train
278575,train
415992,train
202178,train
305944,train
259238,train
342139,train
242483,train
333588,train
101286,train
251683,train
314620,train
413814,train
441113,train
195110,train
350528,train
452986,train
442313,train
392616,train
273440,train
314173,train
139337,train
204288,train
186997,train
145540,train
268262,train
297510,train
112620,train
385622,train
270141,train
110275,train
207595,train
262148,train
141261,train
377600,train
225324,train
412060,train
338492,train
285736,train
241350,train
348499,train
288551,train
379267,train
250106,train
173146,train
344930,train
345951,train
149597,train
137636,train
164757,train
392200,train
441469,train
413062,train
377896,train
221759,train
169036,train
148981,train
196993,train
382655,train
203724,train
168931,train
417360,train
448371,train
453309,train
125018,train
337216,train
252642,train
383116,train
234270,train
260053,train
177274,train
264555,train
141953,train
403044,train
140782,train
266423,train
413133,train
183899,train
375313,train
288622,train
274218,train
280950,train
425280,train
401772,train
234350,train
232832,train
333176,train
422143,train
202084,train
434761,train
351329,train
136214,train
200402,train
347617,train
179118,train
184612,train
299588,train
177140,train
265702,train
175663,train
216172,train
430184,train
231950,train
121525,train
205305,train
365955,train
316773,train
272481,train
384585,train
405849,train
111995,train
355635,train
292282,train
403537,train
430723,train
145902,train
395914,train
244787,train
211538,train
423111,train
311171,train
236559,train
340905,train
237129,train
449437,train
433227,train
397538,train
286896,train
383772,train
216423,train
440263,train
260901,train
163098,train
312100,train
208971,train
310562,train
128974,train
333460,train
220704,train
244622,train
302796,train
177763,train
418617,train
423970,train
101526,train
168964,train
320117,train
382556,train
120818,train
224457,train
278950,train
250352,train
122853,train
233165,train
186035,train
195598,train
269181,train
344668,train
196926,train
177322,train
188264,train
396116,train
257211,train
151078,train
276370,train
284166,train
215271,train
346782,train
302115,train
261237,train
307087,train
155602,train
347059,train
375738,train
211077,train
295226,train
148744,train
122505,train
236428,train
384498,train
386443,train
101316,train
436904,train
339392,train
267701,train
345000,train
203414,train
299166,train
158832,train
386862,train
330265,train
283496,train
152061,train
127910,train
198694,train
210031,train
221211,train
270421,train
247306,train
312734,train
414419,train
147709,train
197532,train
432665,train
312829,train
265605,train
263183,train
377615,train
272540,train
307238,train
132421,train
165116,train
211022,train
172501,train
345617,train
432795,train
404667,train
285435,train
247526,train
442180,train
156483,train
360393,train
315255,train
108570,train
398281,train
157173,train
446928,train
129636,train
352193,train
179489,train
100630,train
169042,train
208913,train
359357,train
233727,train
226504,train
134193,train
440198,train
191135,train
427510,train
313528,train
317155,train
392664,train
437778,train
375664,train
291703,train
372931,train
312450,train
268433,train
285793,train
140205,train
283170,train
346972,train
451448,train
234367,train
197773,train
221152,train
223813,train
252874,train
338459,train
189925,train
275827,train
331303,train
371735,train
332856,train
162186,train
418491,train
120814,train
395733,train
352074,train
262577,train
424551,train
259100,train
429386,train
383102,train
106672,train
290879,train
225440,train
342081,train
146579,train
313619,train
434913,train
116641,train
440800,train
371658,train
307852,train
208683,train
270323,train
427280,train
417297,train
162765,train
219922,train
313332,train
269368,train
429038,train
229353,train
353886,train
388613,train
133386,train
283409,train
402477,train
436011,train
111609,train
322613,train
201851,train
396547,train
272230,train
302747,train
151082,train
324079,train
266662,train
284293,train
385410,train
293740,train
262684,train
313057,train
147802,train
300219,train
256890,train
394272,train
115953,train
127186,train
319237,train
258750,train
434631,train
314468,train
259580,train
446749,train
196842,train
369080,train
374831,train
133314,train
367984,train
326686,train
256934,train
187541,train
179142,train
307541,train
115148,train
265091,train
435061,train
223504,train
380738,train
393783,train
112627,train
250301,train
123485,train
362344,train
299838,train
365005,train
190228,train
242328,train
439729,train
369093,train
112315,train
441950,train
405105,train
165103,train
287683,train
181231,train
421552,train
291962,train
269154,train
199408,train
308808,train
365912,train
137430,train
285945,train
178945,train
337897,train
308849,train
154266,train
348796,train
409862,train
440921,train
369142,train
306106,train
139636,train
318809,train
412258,train
229558,train
215933,train
382508,train
190571,train
304258,train
241835,train
426058,train
229669,train
185499,train
132684,train
404797,train
387150,train
209622,train
399411,train
424025,train
261828,train
181203,train
255346,train
272135,train
409907,train
358669,train
430269,train
243084,train
262413,train
425879,train
104966,train
271877,train
250294,train
153827,train
231860,train
322807,train
255935,train
444852,train
120301,train
153011,train
320781,train
279869,train
261904,train
184296,train
308335,train
401858,train
279249,train
129880,train
382443,train
114160,train
287507,train
155320,train
311617,train
329767,train
365098,train
265317,train
285969,train
283680,train
436862,train
419292,train
120081,train
303987,train
223500,train
449062,train
286016,train
264081,train
110862,train
449266,train
437552,train
197866,train
151397,train
259716,train
312922,train
445955,train
214821,train
269919,train
221191,train
101406,train
158353,train
185265,train
289684,train
282017,train
262369,train
429995,train
291642,train
119936,train
183693,train
424601,train
351089,train
216422,train
345513,train
409456,train
368081,train
145295,train
207969,train
229252,train
185642,train
144980,train
264653,train
378764,train
378289,train
300905,train
189315,train
245725,train
180623,train
414048,train
242960,train
130179,train
146871,train
380052,train
227194,train
348684,train
251144,train
112707,train
183661,train
204155,train
267502,train
354508,train
344742,train
337261,train
358184,train
366271,train
146999,train
169285,train
151725,train
196310,train
290353,train
199601,train
263136,train
134665,train
358004,train
387042,train
254057,train
372133,train
244841,train
171900,train
244480,train
162550,train
151793,train
203743,train
284070,train
250368,train
147183,train
438514,train
425614,train
166368,train
153526,train
218171,train
233318,train
211888,train
202479,train
138364,train
375785,train
369038,train
425812,train
249855,train
185213,train
279664,train
392808,train
451547,train
104974,train
193443,train
285415,train
384436,train
300450,train
217717,train
367132,train
165809,train
284591,train
172519,train
208283,train
172009,train
108169,train
389769,train
453462,train
304122,train
326656,train
325975,train
271066,train
397567,train
121676,train
124775,train
260905,train
404320,train
357635,train
424684,train
110838,train
272156,train
357168,train
435218,train
265281,train
143749,train
340972,train
283265,train
157044,train
262947,train
243474,train
250442,train
102658,train
335705,train
127556,train
357836,train
162878,train
153422,train
450624,train
416982,train
416904,train
115887,train
228508,train
275419,train
310437,train
265942,train
369925,train
294430,train
211450,train
385882,train
314408,train
212642,train
420695,train
204573,train
369594,train
397800,train
238786,train
328462,train
274598,train
221056,train
338051,train
330335,train
447494,train
165151,train
389422,train
373557,train
102485,train
419432,train
207479,train
253051,train
195787,train
162233,train
211364,train
395141,train
158301,train
448593,train
412205,train
358038,train
156826,train
186464,train
279025,train
264540,train
329163,train
248959,train
256330,train
436367,train
216841,train
418766,train
335532,train
292685,train
220052,train
107565,train
147198,train
117859,train
219839,train
348243,train
454197,train
151235,train
252506,train
140914,train
124199,train
397015,train
182704,train
102424,train
166696,train
270880,train
123829,train
284030,train
387660,train
185279,train
103530,train
137753,train
321191,train
337353,train
184246,train
111855,train
445959,train
139629,train
404916,train
174663,train
206790,train
426002,train
438193,train
288235,train
435127,train
448855,train
421446,train
305185,train
323148,train
304667,train
189832,train
300234,train
279598,train
118781,train
224695,train
321106,train
207338,train
188815,train
310609,train
363255,train
206578,train
220843,train
174744,train
338999,train
286341,train
261486,train
186099,train
393652,train
373425,train
259065,train
194389,train
240939,train
355898,train
143895,train
149601,train
371224,train
192287,train
427889,train
413436,train
423733,train
283293,train
305765,train
221194,train
226365,train
390314,train
320483,train
204138,train
381627,train
451624,train
294397,train
339702,train
210128,train
131570,train
149159,train
385533,train
113218,train
322429,train
283524,train
146677,train
224302,train
387383,train
256891,train
281197,train
229272,train
207267,train
387536,train
272014,train
213108,train
362877,train
209531,train
270489,train
438395,train
338515,train
412426,train
287788,train
112376,train
365388,train
112853,train
252428,train
431674,train
103471,train
356555,train
352186,train
103965,train
231720,train
230773,train
125334,train
249825,train
256839,train
300012,train
144820,train
448995,train
160442,train
238213,train
188098,train
135977,train
134142,train
383628,train
418238,train
385993,train
296495,train
304105,train
113044,train
353103,train
371897,train
408331,train
154177,train
312317,train
120273,train
143901,train
155122,train
155277,train
349016,train
393779,train
250933,train
409142,train
185587,train
234553,train
402680,train
132679,train
149068,train
442355,train
153775,train
121047,train
204127,train
195873,train
163997,train
346665,train
138074,train
410545,train
228726,train
446793,train
106886,train
453617,train
270085,train
235418,train
301217,train
219660,train
299723,train
222462,train
250587,train
285624,train
386697,train
136306,train
369082,train
164923,train
160359,train
221703,train
348923,train
444640,train
340888,train
185871,train
169870,train
416778,train
347936,train
437899,train
222806,train
382289,train
132330,train
191924,train
216618,train
215316,train
297187,train
264310,train
166553,train
236493,train
275791,train
209205,train
170615,train
266320,train
194773,train
296486,train
207127,train
370678,train
420845,train
405609,train
443966,train
235500,train
247835,train
284810,train
406054,train
372302,train
255364,train
412387,train
423573,train
380850,train
268027,train
226759,train
126300,train
242580,train
429577,train
246174,train
404814,train
440038,train
200334,train
392457,train
137801,train
169460,train
440299,train
413379,train
130271,train
190958,train
168599,train
453131,train
401838,train
327953,train
112929,train
200445,train
101790,train
250267,train
129394,train
323900,train
103165,train
109981,train
104609,train
209555,train
315923,train
193920,train
399848,train
319858,train
154769,train
209203,train
257838,train
160731,train
131560,train
441628,train
179168,train
362940,train
263374,train
242803,train
411968,train
305126,train
178778,train
283102,train
232234,train
182374,train
326718,train
306088,train
283815,train
129175,train
380303,train
430756,train
298140,train
380608,train
316175,train
442172,train
444800,train
181662,train
290917,train
445770,train
234498,train
126157,train
302382,train
217449,train
155348,train
291237,train
229437,train
415447,train
442838,train
227455,train
144476,train
450357,train
422486,train
256932,train
298386,train
300047,train
429020,train
335330,train
212119,train
343631,train
117407,train
168019,train
294944,train
220760,train
264723,train
373469,train
214122,train
343915,train
224928,train
278383,train
126224,train
221923,train
337859,train
121576,train
407565,train
185800,train
146899,train
383312,train
101933,train
200281,train
441599,train
130734,train
292886,train
440207,train
393898,train
378243,train
170344,train
414238,train
222160,train
324014,train
311922,train
429335,train
392984,train
327833,train
455502,train
152165,train
230455,train
120924,train
156076,train
218019,train
179101,train
323501,train
202775,train
269474,train
168113,train
229718,train
416503,train
201644,train
217918,train
349556,train
320284,train
434195,train
436589,train
279673,train
158457,train
331749,train
223374,train
311426,train
159880,train
156493,train
133852,train
273791,train
121471,train
379990,train
162052,train
445607,train
369460,train
211478,train
158813,train
214010,train
393397,train
390362,train
275133,train
334690,train
172870,train
270730,train
212217,train
103903,train
326671,train
345334,train
393150,train
369491,train
408167,train
154033,train
305505,train
151117,train
324539,train
393088,train
216124,train
152659,train
408636,train
169588,train
116999,train
193947,train
206552,train
447647,train
262938,train
419118,train
209865,train
401300,train
312153,train
422923,train
236192,train
271161,train
325351,train
216426,train
230482,train
384983,train
180821,train
254570,train
154600,train
150525,train
438428,train
303788,train
177697,train
391299,train
449968,train
177603,train
151957,train
102837,train
122430,train
161612,train
313898,train
109173,train
242284,train
338937,train
347348,train
326124,train
195471,train
122188,train
243270,train
340094,train
426133,train
364005,train
202237,train
445665,train
450088,train
319918,train
298699,train
391160,train
421804,train
452779,train
239162,train
240319,train
453068,train
115438,train
352393,train
275275,train
311300,train
109493,train
419052,train
265145,train
344598,train
182407,train
363235,train
317874,train
104065,train
126207,train
225371,train
348166,train
392518,train
335690,train
128738,train
130121,train
301904,train
150271,train
130182,train
259605,train
395526,train
136191,train
311515,train
268676,train
369831,train
255835,train
439475,train
276129,train
149990,train
206930,train
233120,train
409512,train
426667,train
225265,train
325032,train
364370,train
310174,train
140639,train
360201,train
109463,train
205558,train
357328,train
194356,train
212519,train
440656,train
293289,train
207674,train
403345,train
249371,train
179389,train
321798,train
449661,train
169480,train
409818,train
102316,train
359570,train
316978,train
442357,train
362672,train
162338,train
423633,train
118473,train
331846,train
454008,train
241877,train
452065,train
378391,train
230634,train
113818,train
328923,train
421103,train
420314,train
127697,train
298061,train
165039,train
431513,train
401893,train
392542,train
191694,train
203272,train
143702,train
133343,train
275141,train
181685,train
203461,train
220020,train
155965,train
318289,train
148727,train
155360,train
120013,train
357691,train
220451,train
451178,train
328128,train
386519,train
291519,train
376705,train
450511,train
399695,train
157029,train
329302,train
277496,train
258972,train
438124,train
328257,train
116200,train
337206,train
225947,train
441218,train
290471,train
196397,train
327519,train
403295,train
399784,train
228807,train
349136,train
211200,train
415884,train
315967,train
272700,train
438966,train
306421,train
309212,train
158396,train
125530,train
207424,train
322725,train
315214,train
133052,train
